iter	Passed	Remaining
449	1098	3784
450	1101	3781
451	1103	3779
452	1105	3776
453	1108	3774
454	1110	3771
455	1113	3769
456	1115	3766
457	1118	3764
458	1120	3762
459	1123	3759
460	1125	3757
461	1127	3754
462	1130	3752
463	1132	3749
464	1135	3747
465	1137	3744
466	1140	3742
467	1142	3739
468	1144	3736
469	1147	3734
470	1149	3731
471	1151	3729
472	1154	3726
473	1156	3724
474	1159	3722
475	1161	3719
476	1164	3717
477	1166	3714
478	1169	3712
479	1171	3710
480	1174	3707
481	1176	3705
482	1178	3702
483	1181	3700
484	1183	3698
485	1186	3696
486	1189	3693
487	1191	3691
488	1193	3689
489	1196	3687
490	1198	3684
491	1201	3682
492	1203	3680
493	1206	3677
494	1208	3675
495	1211	3673
496	1213	3670
497	1216	3668
498	1218	3665
499	1221	3663
500	1223	3661
501	1226	3658
502	1228	3655
503	1230	3653
504	1233	3650
505	1235	3648
506	1238	3645
507	1240	3643
508	1243	3641
509	1245	3638
510	1247	3636
511	1250	3634
512	1252	3631
513	1255	3629
514	1257	3626
515	1260	3623
516	1262	3621
517	1264	3619
518	1267	3616
519	1269	3614
520	1272	3611
521	1274	3608
522	1277	3606
523	1279	3604
524	1281	3601
525	1284	3599
526	1286	3596
527	1289	3594
528	1291	3591
529	1294	3589
530	1296	3586
531	1299	3584
532	1301	3582
533	1303	3579
534	1306	3577
535	1308	3574
536	1311	3572
537	1313	3569
538	1316	3567
539	1318	3564
540	1321	3562
541	1323	3560
542	1325	3557
543	1328	3555
544	1330	3552
545	1333	3550
546	1335	3547
547	1338	3545
548	1340	3542
549	1342	3540
550	1345	3537
551	1347	3535
552	1350	3532
553	1352	3530
554	1355	3528
555	1357	3526
556	1360	3523
557	1362	3521
558	1364	3518
559	1367	3516
560	1369	3513
561	1372	3511
562	1374	3508
563	1377	3506
564	1379	3503
565	1381	3501
566	1384	3498
567	1386	3496
568	1389	3493
569	1391	3491
570	1394	3488
571	1396	3486
572	1398	3483
573	1401	3481
574	1403	3478
575	1406	3476
576	1408	3473
577	1411	3471
578	1413	3468
579	1415	3466
580	1418	3463
581	1420	3461
582	1423	3459
583	1425	3456
584	1428	3454
585	1430	3451
586	1432	3449
587	1435	3446
588	1437	3444
589	1440	3441
590	1442	3439
591	1445	3437
592	1447	3434
593	1450	3432
594	1452	3429
595	1454	3427
596	1457	3425
597	1459	3422
598	1462	3420
599	1464	3417
600	1467	3415
601	1469	3413
602	1472	3410
603	1474	3408
604	1477	3405
605	1479	3403
606	1481	3400
607	1484	3398
608	1486	3395
609	1489	3393
610	1491	3390
611	1494	3388
612	1496	3385
613	1498	3383
614	1501	3381
615	1503	3378
616	1506	3376
617	1508	3373
618	1511	3371
619	1513	3369
620	1516	3366
621	1518	3364
622	1521	3361
623	1523	3359
624	1525	3357
625	1528	3354
626	1530	3352
627	1533	3349
628	1535	3347
629	1538	3344
630	1540	3342
631	1542	3339
632	1545	3337
633	1547	3334
634	1550	3332
635	1552	3329
636	1555	3327
637	1557	3325
638	1560	3322
639	1562	3320
640	1564	3317
641	1567	3315
642	1569	3312
643	1572	3310
644	1574	3308
645	1577	3305
646	1579	3303
647	1582	3300
648	1584	3298
649	1586	3295
650	1589	3293
651	1591	3291
652	1594	3288
653	1596	3286
654	1599	3283
655	1601	3281
656	1604	3278
657	1606	3276
658	1609	3274
659	1611	3271
660	1614	3269
661	1616	3267
662	1618	3264
663	1621	3262
664	1623	3260
665	1626	3257
666	1628	3255
667	1631	3252
668	1633	3250
669	1636	3247
670	1638	3245
671	1641	3243
672	1643	3240
673	1646	3238
674	1648	3235
675	1650	3233
676	1653	3230
677	1655	3228
678	1658	3225
679	1660	3223
680	1662	3220
681	1665	3218
682	1667	3216
683	1670	3213
684	1672	3211
685	1675	3209
686	1677	3206
687	1680	3204
688	1682	3201
689	1685	3199
690	1687	3196
691	1690	3194
692	1692	3191
693	1694	3189
694	1697	3187
695	1699	3184
696	1702	3182
697	1704	3179
698	1707	3177
699	1709	3174
700	1712	3172
701	1714	3170
702	1717	3167
703	1719	3165
704	1721	3162
705	1724	3160
706	1726	3157
707	1729	3155
708	1731	3153
709	1734	3150
710	1736	3148
711	1738	3145
712	1741	3143
713	1743	3140
714	1746	3138
715	1748	3135
716	1750	3133
717	1753	3130
718	1755	3128
719	1758	3125
720	1760	3123
721	1763	3121
722	1765	3118
723	1768	3116
724	1770	3113
725	1772	3111
726	1775	3108
727	1777	3106
728	1780	3103
729	1782	3101
730	1785	3099
731	1787	3096
732	1790	3094
733	1792	3091
734	1794	3089
735	1797	3086
736	1799	3084
737	1802	3081
738	1804	3079
739	1806	3076
740	1809	3074
741	1811	3071
742	1814	3069
743	1816	3066
744	1818	3064
745	1821	3061
746	1823	3059
747	1826	3056
748	1828	3053
749	1830	3051
750	1833	3049
751	1835	3046
752	1838	3044
753	1840	3042
754	1843	3039
755	1845	3036
756	1848	3034
757	1850	3032
758	1853	3029
759	1855	3027
760	1857	3024
761	1860	3022
762	1862	3019
763	1865	3017
764	1867	3015
765	1870	3012
766	1872	3010
767	1875	3007
768	1877	3005
769	1880	3003
770	1882	3000
771	1884	2998
772	1887	2995
773	1889	2993
774	1892	2990
775	1894	2988
776	1897	2985
777	1899	2983
778	1901	2981
779	1904	2978
780	1906	2976
781	1909	2973
782	1911	2970
783	1913	2968
784	1916	2966
785	1918	2963
786	1921	2961
787	1923	2958
788	1926	2956
789	1928	2953
790	1930	2951
791	1933	2948
792	1935	2946
793	1938	2944
794	1940	2941
795	1943	2939
796	1945	2936
797	1948	2934
798	1950	2931
799	1952	2929
800	1955	2927
801	1957	2924
802	1960	2922
803	1962	2919
804	1965	2917
805	1967	2915
806	1970	2912
807	1972	2910
808	1975	2907
809	1977	2905
810	1980	2902
811	1982	2900
812	1985	2898
813	1987	2895
814	1990	2893
815	1992	2891
816	1994	2888
817	1997	2886
818	1999	2883
819	2002	2881
820	2004	2878
821	2007	2876
822	2009	2873
823	2011	2871
824	2014	2868
825	2016	2866
826	2019	2864
827	2021	2861
828	2024	2859
829	2026	2857
830	2029	2854
831	2031	2852
832	2034	2849
833	2036	2847
834	2038	2844
835	2041	2842
836	2043	2839
837	2046	2837
838	2048	2834
839	2051	2832
840	2053	2829
841	2055	2827
842	2058	2824
843	2060	2822
844	2063	2820
845	2065	2817
846	2068	2815
847	2070	2812
848	2072	2810
849	2075	2807
850	2077	2805
851	2080	2803
852	2082	2800
853	2085	2798
854	2087	2795
855	2090	2793
856	2092	2790
857	2094	2788
858	2097	2785
859	2099	2783
860	2102	2780
861	2104	2778
862	2106	2775
863	2109	2773
864	2111	2770
865	2114	2768
866	2116	2766
867	2119	2763
868	2121	2760
869	2123	2758
870	2126	2756
871	2128	2753
872	2131	2751
873	2133	2748
874	2135	2746
875	2138	2743
876	2140	2741
877	2143	2738
878	2145	2736
879	2147	2733
880	2150	2731
881	2152	2729
882	2155	2726
883	2157	2724
884	2160	2721
885	2162	2719
886	2165	2717
887	2168	2714
888	2170	2712
889	2173	2710
890	2175	2707
891	2177	2705
892	2180	2702
893	2182	2700
894	2185	2698
895	2187	2695
896	2190	2693
897	2192	2690
898	2195	2688
899	2197	2685
900	2199	2683
901	2202	2681
902	2204	2678
903	2207	2675
904	2209	2673
905	2212	2671
906	2214	2668
907	2217	2666
908	2219	2663
909	2221	2661
910	2224	2658
911	2226	2656
912	2229	2653
913	2231	2651
914	2234	2649
915	2236	2646
916	2238	2644
917	2241	2641
918	2243	2639
919	2246	2636
920	2248	2634
921	2251	2631
922	2253	2629
923	2255	2626
924	2258	2624
925	2260	2621
926	2263	2619
927	2265	2617
928	2268	2614
929	2270	2612
930	2272	2609
931	2275	2608
932	2278	2605
933	2280	2603
934	2283	2600
935	2285	2598
936	2288	2595
937	2290	2593
938	2293	2591
939	2295	2588
940	2298	2586
941	2300	2583
942	2303	2581
943	2305	2579
944	2307	2576
945	2310	2574
946	2313	2571
947	2315	2569
948	2317	2566
949	2320	2564
950	2322	2562
951	2325	2559
952	2327	2557
953	2330	2554
954	2332	2552
955	2335	2550
956	2337	2547
957	2340	2545
958	2342	2542
959	2344	2540
960	2347	2537
961	2349	2535
962	2352	2532
963	2354	2530
964	2357	2528
965	2359	2525
966	2361	2523
967	2364	2520
968	2366	2518
969	2369	2515
970	2371	2513
971	2374	2510
972	2376	2508
973	2378	2506
974	2381	2503
975	2383	2501
976	2386	2498
977	2388	2496
978	2391	2493
979	2393	2491
980	2395	2488
981	2398	2486
982	2400	2483
983	2403	2481
984	2405	2478
985	2408	2476
986	2410	2474
987	2413	2471
988	2415	2469
989	2418	2466
990	2420	2464
991	2422	2462
992	2425	2459
993	2427	2457
994	2430	2454
995	2432	2452
996	2435	2449
997	2437	2447
998	2439	2444
999	2442	2442
1000	2444	2440
1001	2447	2437
1002	2449	2435
1003	2452	2432
1004	2454	2430
1005	2457	2427
1006	2459	2425
1007	2462	2422
1008	2464	2420
1009	2466	2417
1010	2469	2415
1011	2471	2413
1012	2474	2410
1013	2476	2408
1014	2479	2405
1015	2481	2403
1016	2483	2400
1017	2486	2398
1018	2488	2396
1019	2491	2393
1020	2493	2391
1021	2496	2388
1022	2498	2386
1023	2501	2383
1024	2503	2381
1025	2505	2378
1026	2508	2376
1027	2510	2374
1028	2513	2371
1029	2515	2369
1030	2518	2366
1031	2520	2364
1032	2523	2361
1033	2525	2359
1034	2528	2357
1035	2530	2354
1036	2533	2352
1037	2535	2350
1038	2538	2347
1039	2540	2345
1040	2543	2342
1041	2545	2340
1042	2548	2338
1043	2550	2335
1044	2552	2333
1045	2555	2330
1046	2557	2328
1047	2560	2325
1048	2562	2323
1049	2565	2320
1050	2567	2318
1051	2569	2315
1052	2572	2313
1053	2574	2310
1054	2577	2308
1055	2579	2305
1056	2581	2303
1057	2584	2301
1058	2586	2298
1059	2589	2296
1060	2591	2293
1061	2594	2291
1062	2596	2288
1063	2598	2286
1064	2601	2283
1065	2603	2281
1066	2606	2278
1067	2608	2276
1068	2610	2273
1069	2613	2271
1070	2615	2268
1071	2618	2266
1072	2620	2264
1073	2623	2261
1074	2625	2259
1075	2627	2256
1076	2630	2254
1077	2632	2251
1078	2635	2249
1079	2637	2246
1080	2640	2244
1081	2642	2242
1082	2645	2239
1083	2647	2237
1084	2649	2234
1085	2652	2232
1086	2654	2229
1087	2657	2227
1088	2659	2224
1089	2661	2222
1090	2664	2219
1091	2666	2217
1092	2669	2215
1093	2671	2212
1094	2674	2210
1095	2676	2207
1096	2679	2205
1097	2681	2202
1098	2683	2200
1099	2686	2197
1100	2688	2195
1101	2691	2193
1102	2693	2190
1103	2696	2188
1104	2698	2185
1105	2701	2183
1106	2703	2180
1107	2706	2178
1108	2708	2176
1109	2710	2173
1110	2713	2171
1111	2715	2168
1112	2718	2166
1113	2720	2163
1114	2723	2161
1115	2725	2158
1116	2728	2156
1117	2730	2154
1118	2732	2151
1119	2735	2149
1120	2738	2146
1121	2740	2144
1122	2743	2142
1123	2745	2139
1124	2747	2137
1125	2750	2134
1126	2752	2132
1127	2755	2129
1128	2757	2127
1129	2760	2125
1130	2762	2122
1131	2765	2120
1132	2767	2117
1133	2769	2115
1134	2772	2112
1135	2774	2110
1136	2777	2108
1137	2779	2105
1138	2782	2103
1139	2784	2100
1140	2787	2098
1141	2789	2095
1142	2791	2093
1143	2794	2090
1144	2796	2088
1145	2799	2085
1146	2801	2083
1147	2804	2081
1148	2806	2078
1149	2808	2076
1150	2811	2073
1151	2813	2071
1152	2816	2068
1153	2818	2066
1154	2821	2063
1155	2823	2061
1156	2826	2059
1157	2828	2056
1158	2830	2054
1159	2833	2051
1160	2835	2049
1161	2838	2046
1162	2840	2044
1163	2843	2042
1164	2845	2039
1165	2847	2037
1166	2850	2034
1167	2852	2032
1168	2855	2029
1169	2857	2027
1170	2860	2024
1171	2862	2022
1172	2865	2020
1173	2867	2017
1174	2870	2015
1175	2872	2012
1176	2875	2010
1177	2877	2007
1178	2880	2005
1179	2882	2003
1180	2884	2000
1181	2887	1998
1182	2889	1995
1183	2892	1993
1184	2894	1990
1185	2897	1988
1186	2899	1986
1187	2902	1983
1188	2904	1981
1189	2906	1978
1190	2909	1976
1191	2911	1973
1192	2914	1971
1193	2916	1968
1194	2919	1966
1195	2921	1964
1196	2924	1961
1197	2926	1959
1198	2929	1956
1199	2931	1954
1200	2934	1951
1201	2936	1949
1202	2939	1947
1203	2941	1944
1204	2943	1942
1205	2946	1939
1206	2948	1937
1207	2951	1934
1208	2953	1932
1209	2956	1930
1210	2958	1927
1211	2961	1925
1212	2963	1922
1213	2965	1920
1214	2968	1917
1215	2970	1915
1216	2973	1913
1217	2975	1910
1218	2978	1908
1219	2980	1905
1220	2982	1903
1221	2985	1900
1222	2987	1898
1223	2990	1895
1224	2992	1893
1225	2995	1890
1226	2997	1888
1227	2999	1885
1228	3002	1883
1229	3004	1881
1230	3007	1878
1231	3009	1876
1232	3012	1873
1233	3014	1871
1234	3017	1868
1235	3019	1866
1236	3021	1863
1237	3024	1861
1238	3026	1859
1239	3029	1856
1240	3031	1854
1241	3034	1851
1242	3036	1849
1243	3038	1846
1244	3041	1844
1245	3043	1841
1246	3046	1839
1247	3048	1836
1248	3050	1834
1249	3053	1832
